date,type,rank,id,likes,downloads,tag,url
2026-07-23,資料集,10,LiquidAI/antidoom-mix-v1.0,112,827,,https://huggingface.co/datasets/LiquidAI/antidoom-mix-v1.0
2026-07-23,Spaces,1,webml-community/bonsai-webgpu-kernels,287,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-23,Spaces,2,kulkas2pintu/wan555,663,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-23,Spaces,3,ICML-2026-agent-repro/challenge,163,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-23,Spaces,4,loveseries/wanmanlove,156,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-23,Spaces,5,conradlocke/krea2-identity-edit,103,,Image Editing,https://huggingface.co/spaces/conradlocke/krea2-identity-edit
2026-07-23,Spaces,6,prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast,1972,,Image Editing,https://huggingface.co/spaces/prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast
2026-07-23,Spaces,7,smolagents/hf-realtime-voice,451,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-23,Spaces,8,selfit-camera/Omni-Image-Editor,2194,,Image Editing,https://huggingface.co/spaces/selfit-camera/Omni-Image-Editor
2026-07-23,Spaces,9,baidu/Unlimited-OCR,278,,OCR,https://huggingface.co/spaces/baidu/Unlimited-OCR
2026-07-23,Spaces,10,victor/gemma-avatar,148,,Chatbots,https://huggingface.co/spaces/victor/gemma-avatar
